,Age,Education-num,Marital-Status,Relationship,Race,Sex,Capital-gain,Capital-loss,hrs-per-week,Native-Country,Employment_type,Earning-potential,predict
0,3,7,1,3,0,1,1,0,3,1,0,1,1
1,4,7,0,2,0,1,0,0,1,1,2,1,0
2,2,5,1,3,0,1,0,0,3,1,1,1,1
3,4,3,0,2,3,1,0,0,3,1,1,1,1
4,1,7,0,1,3,0,0,0,3,0,1,1,0
5,2,8,0,1,0,0,0,0,3,1,1,1,0
6,4,2,1,3,3,0,0,0,1,0,1,1,1
7,4,5,0,2,0,1,0,0,4,1,2,0,1
8,1,8,1,3,0,0,1,0,4,1,1,0,1
9,3,7,0,2,0,1,1,0,3,1,1,0,0
10,2,5,0,2,3,1,0,0,8,1,1,0,1
11,1,7,0,2,2,1,0,0,3,0,0,0,0
12,0,7,1,4,0,0,0,0,2,1,1,1,1
13,2,7,1,3,3,1,0,0,4,1,1,1,1
15,2,1,0,2,1,1,0,0,4,0,1,1,1
16,1,5,1,4,0,1,0,0,3,1,2,1,1
17,2,5,1,0,0,1,0,0,3,1,1,1,1
18,2,3,0,2,0,1,0,0,4,1,1,1,1
19,3,8,1,0,0,0,0,0,4,1,2,0,1
20,3,9,0,2,0,1,0,0,6,1,1,0,0
21,5,5,1,0,3,0,0,0,1,1,1,1,1
22,2,2,0,2,3,1,0,0,3,1,0,1,1
23,3,3,0,2,0,1,0,1,3,1,1,1,1
24,5,5,1,0,0,0,0,0,3,1,1,1,1
25,5,7,0,2,0,1,0,0,3,1,0,0,0
26,0,5,1,4,0,1,0,0,3,1,1,1,1
28,3,5,1,3,0,1,0,0,8,1,1,1,1
29,4,5,0,2,0,1,0,0,3,1,1,1,1
30,0,7,1,3,0,1,0,0,5,1,0,1,1
31,0,5,1,4,3,1,0,0,4,1,1,1,1
32,3,7,1,4,0,1,0,1,3,1,1,1,1
33,1,5,0,4,0,1,0,0,3,1,0,1,1
34,0,5,0,2,3,1,0,0,1,1,0,1,1
35,4,3,1,0,0,1,0,0,3,0,1,1,1
36,0,5,1,4,0,1,0,0,3,1,1,1,1
37,0,5,0,1,0,0,0,0,2,1,1,1,1
39,4,7,0,2,0,1,0,0,3,1,2,1,0
40,1,2,0,2,0,1,0,0,4,1,1,1,1
41,4,7,0,2,0,1,0,0,3,1,2,1,0
42,0,7,0,2,0,1,0,0,4,1,1,1,0
43,4,5,1,0,0,0,0,0,3,1,1,1,1
44,1,5,1,3,0,1,0,0,3,1,1,1,1
45,5,7,0,2,3,1,0,0,3,1,0,0,0
46,4,5,0,2,0,1,0,0,3,1,1,1,1
47,3,8,1,0,0,0,0,0,3,1,1,1,1
48,3,6,0,2,0,1,0,0,3,1,0,1,1
49,1,6,1,3,0,1,0,0,4,1,1,1,1
50,1,5,0,1,4,0,0,0,3,1,1,1,1
52,4,9,0,1,0,0,0,1,6,0,1,0,0
53,4,7,1,3,0,1,0,0,5,1,0,0,1
54,4,5,1,3,0,1,0,0,6,1,2,1,1
